Species,coef,pval,qval
Paludibacter.propionicigenes,-2.106740901,4.56E-09,1.28E-05
Pseudarthrobacter.defluvii,-2.106740901,4.56E-09,1.28E-05
Mycobacterium.conspicuum,-2.106740901,4.56E-09,1.28E-05
Granulicella.sp..5B5,-2.106740901,4.56E-09,1.28E-05
Prevotella.jejuni,-2.106740901,4.56E-09,1.28E-05
Xylanibacter.ruminicola,-2.106740901,4.56E-09,1.28E-05
Chryseolinea.soli,-2.106740901,4.56E-09,1.28E-05
Microbacterium.esteraromaticum,-2.106740901,4.56E-09,1.28E-05
Streptomyces.aurantiacus,-2.106740901,4.56E-09,1.28E-05
Leptogranulimonas.caecicola,-2.106740901,4.56E-09,1.28E-05
Blastochloris.viridis,-2.106740901,4.56E-09,1.28E-05
Tuwongella.immobilis,-2.106740901,4.56E-09,1.28E-05
Bacillus.sp..DTU_2020_1000418_1_SI_GHA_SEK_038,-2.106740901,4.56E-09,1.28E-05
Olsenella.timonensis,-2.106740901,4.56E-09,1.28E-05
Psychrobacter.sanguinis,-2.106740901,4.56E-09,1.28E-05
Halomonas.sp..1513,-2.106740901,4.56E-09,1.28E-05
Mammaliicoccus.lentus,-2.106740901,4.56E-09,1.28E-05
Tannerella.serpentiformis,-2.106740901,4.56E-09,1.28E-05
Chryseobacterium.gambrini,-2.106740901,4.56E-09,1.28E-05
Prevotella.sp..Rep29,-2.106740901,4.56E-09,1.28E-05
Hoylesella.enoeca,-2.106740901,4.56E-09,1.28E-05
Niastella.koreensis,-2.106740901,4.56E-09,1.28E-05
Nocardioides.sp..S5,-2.106740901,4.56E-09,1.28E-05
Novosphingobium.sp..Gsoil.351,-2.106740901,4.56E-09,1.28E-05
Prevotella.sp..oral.taxon.299,-2.106740901,4.56E-09,1.28E-05
Roseibium.alexandrii,-2.106740901,4.56E-09,1.28E-05
Porphyromonas.asaccharolytica,-2.106740901,4.56E-09,1.28E-05
Acidovorax.sp..DW039,-2.106740901,4.56E-09,1.28E-05
Pseudomonas.sp..MTM4,-2.106740901,4.56E-09,1.28E-05
Prevotella.sp..oral.taxon.475,-2.106740901,4.56E-09,1.28E-05
